79.5354 	EXP 	read_number: text = '983'
79.7063 	DATA 	Keypress: space
79.7189 	EXP 	read_number: height = 0.07
79.7189 	EXP 	read_number: height = 0.07
79.7189 	EXP 	read_number: height = 0.07
79.7189 	EXP 	read_number: text = '970'
79.8891 	DATA 	Keypress: space
79.9027 	EXP 	read_number: height = 0.07
79.9027 	EXP 	read_number: height = 0.07
79.9027 	EXP 	read_number: height = 0.07
79.9027 	EXP 	read_number: text = '957'
80.0584 	DATA 	Keypress: space
80.0692 	EXP 	read_number: height = 0.07
80.0692 	EXP 	read_number: height = 0.07
80.0692 	EXP 	read_number: height = 0.07
80.0692 	EXP 	read_number: text = '944'
80.2070 	DATA 	Keypress: space
80.2196 	EXP 	read_number: height = 0.07
80.2196 	EXP 	read_number: height = 0.07
80.2196 	EXP 	read_number: height = 0.07
80.2196 	EXP 	read_number: text = '931'
80.3903 	DATA 	Keypress: space
